                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2541,                 1.0547,                 1.3302,                0.43601,                0.33357,                0.28105,                0.09399,                 2.5437,                 2.1633,                 2.0177,              0.0011178,              0.0011178,              0.0011178
                     35,                 1.2457,                 1.0411,                 1.3373,                0.39402,                 0.3024,                0.23041,                0.07739,                 2.6462,                  2.197,                 2.0617,              0.0011083,              0.0011083,              0.0011083
                     36,                 1.2431,                 1.0478,                  1.314,                0.32821,                0.30436,                0.20547,                0.06375,                 2.7682,                 2.3947,                 2.2425,              0.0010989,              0.0010989,              0.0010989
                     37,                 1.2576,                 1.0349,                  1.339,                0.28434,                0.24926,                0.16143,                0.04968,                 2.8371,                 2.4754,                 2.2488,              0.0010895,              0.0010895,              0.0010895
                     38,                 1.2333,                 1.0185,                 1.3331,                0.39095,                0.33408,                0.26096,                0.08606,                 2.5926,                 2.2872,                 2.0431,                0.00108,                0.00108,                0.00108
                     39,                  1.239,                0.98407,                 1.3179,                0.36635,                0.31253,                0.23121,                0.07362,                 2.6801,                 2.1905,                 2.1067,              0.0010706,              0.0010706,              0.0010706
                     40,                 1.2102,                 0.9825,                 1.3078,                0.34757,                0.28256,                0.20878,                0.06779,                 2.7328,                 2.2653,                 2.1863,              0.0010612,              0.0010612,              0.0010612
                     41,                  1.211,                0.96136,                 1.3157,                0.34728,                0.31251,                0.23548,                0.08252,                 2.5785,                 2.1722,                  2.057,              0.0010517,              0.0010517,              0.0010517
                     42,                 1.2061,                 0.9604,                    1.3,                0.35472,                0.32299,                0.23762,                0.08179,                 2.6662,                 2.2099,                 2.1046,              0.0010423,              0.0010423,              0.0010423
                     43,                 1.2211,                0.97488,                 1.3025,                0.39652,                0.29092,                0.23546,                0.07857,                 2.6941,                 2.1998,                 2.1395,              0.0010329,              0.0010329,              0.0010329
                     44,                 1.2089,                0.95537,                 1.2991,                0.34756,                0.28696,                0.21308,                0.06739,                 2.7405,                 2.2571,                 2.1976,              0.0010234,              0.0010234,              0.0010234
                     45,                 1.1691,                0.92118,                 1.2798,                0.35096,                0.27343,                0.19999,                0.06223,                 2.8041,                 2.2596,                 2.2158,               0.001014,               0.001014,               0.001014
                     46,                 1.1519,                0.90903,                 1.2685,                0.36578,                0.30788,                0.23791,                0.07701,                 2.6982,                 2.2304,                 2.1281,              0.0010046,              0.0010046,              0.0010046
                     47,                 1.1534,                 0.8864,                 1.2627,                0.38681,                0.26006,                0.20536,                0.06347,                 2.7937,                 2.3607,                 2.2372,             0.00099516,             0.00099516,             0.00099516
                     48,                 1.1726,                0.90512,                 1.2767,                0.31636,                0.26724,                 0.1789,                0.05376,                 2.8635,                 2.3634,                 2.2788,             0.00098572,             0.00098572,             0.00098572
                     49,                 1.1207,                0.85785,                 1.2493,                0.33833,                0.30875,                0.21688,                0.07102,                 2.7735,                 2.1762,                 2.2208,             0.00097629,             0.00097629,             0.00097629
                     50,                 1.1689,                0.87736,                 1.2734,                0.40041,                0.28704,                0.22279,                0.07128,                 2.7237,                 2.1369,                 2.1989,             0.00096686,             0.00096686,             0.00096686
                     51,                 1.1283,                0.84559,                 1.2475,                0.39742,                0.29101,                  0.223,                0.06711,                 2.8387,                 2.1519,                 2.2894,             0.00095743,             0.00095743,             0.00095743
                     52,                 1.1446,                0.86448,                 1.2615,                0.37056,                0.30744,                0.22125,                0.06802,                 2.7866,                  2.174,                 2.2599,               0.000948,               0.000948,               0.000948
                     53,                  1.137,                0.84751,                 1.2593,                 0.3566,                0.28643,                0.20284,                0.06209,                 2.8207,                 2.2986,                 2.2799,             0.00093857,             0.00093857,             0.00093857
                     54,                 1.1403,                0.84106,                 1.2542,                0.45117,                0.30427,                0.26009,                0.07972,                 2.7133,                 2.1092,                 2.1609,             0.00092914,             0.00092914,             0.00092914
                     55,                 1.1013,                0.80487,                 1.2377,                0.31456,                0.28242,                0.19761,                0.06309,                  2.833,                 2.3301,                 2.3188,              0.0009197,              0.0009197,              0.0009197
                     56,                 1.1136,                0.82683,                  1.236,                 0.3638,                0.27314,                0.21391,                0.06714,                 2.7751,                 2.2508,                 2.2417,             0.00091027,             0.00091027,             0.00091027
                     57,                  1.084,                0.80729,                 1.2235,                0.39953,                0.31389,                0.25439,                0.08271,                 2.7256,                 2.1085,                 2.1826,             0.00090084,             0.00090084,             0.00090084
                     58,                 1.0825,                0.78469,                 1.2229,                0.35004,                0.31438,                0.22089,                0.06654,                 2.8114,                 2.2434,                 2.3247,             0.00089141,             0.00089141,             0.00089141
                     59,                 1.0804,                0.77735,                 1.2102,                0.38815,                0.31966,                0.23891,                0.07224,                 2.7732,                  2.229,                 2.2586,             0.00088198,             0.00088198,             0.00088198
                     60,                 1.0872,                0.79461,                 1.2246,                0.37632,                0.27453,                0.21633,                0.06743,                 2.7901,                 2.2667,                 2.3173,             0.00087255,             0.00087255,             0.00087255
                     61,                  1.068,                0.77567,                  1.215,                0.34979,                0.28819,                0.20546,                0.06618,                 2.8062,                 2.3103,                 2.3266,             0.00086312,             0.00086312,             0.00086312
                     62,                 1.0463,                0.75659,                 1.2052,                0.36018,                0.28044,                0.21728,                0.06789,                 2.8169,                 2.2595,                 2.3235,             0.00085368,             0.00085368,             0.00085368
                     63,                  1.073,                0.76928,                 1.2043,                0.31643,                0.28802,                 0.1869,                0.06056,                 2.7924,                 2.3798,                 2.2979,             0.00084425,             0.00084425,             0.00084425
                     64,                 1.0718,                0.74421,                 1.2211,                0.33761,                0.27921,                0.18965,                0.05829,                 2.8269,                 2.3433,                 2.3153,             0.00083482,             0.00083482,             0.00083482
                     65,                 1.0602,                0.74148,                 1.2056,                0.39349,                 0.2889,                0.22215,                0.07049,                 2.8621,                 2.2731,                 2.3645,             0.00082539,             0.00082539,             0.00082539
                     66,                 1.0422,                0.74137,                 1.1949,                0.39519,                0.27502,                0.21093,                0.06604,                 2.8252,                 2.3072,                 2.3247,             0.00081596,             0.00081596,             0.00081596
                     67,                 1.0322,                0.72788,                 1.1889,                 0.3868,                0.28353,                0.20485,                0.06167,                 2.8178,                 2.3405,                 2.3216,             0.00080653,             0.00080653,             0.00080653
                     68,                 1.0357,                0.71137,                 1.1881,                0.31552,                0.29865,                 0.1958,                0.06132,                 2.8412,                 2.3283,                 2.3471,              0.0007971,              0.0007971,              0.0007971
                     69,                 1.0185,                0.70255,                 1.1854,                 0.4045,                0.28305,                0.21144,                0.06598,                 2.8862,                 2.2757,                 2.4299,             0.00078766,             0.00078766,             0.00078766
                     70,                0.99973,                0.68169,                 1.1643,                0.32919,                  0.287,                0.20151,                0.06531,                 2.8498,                 2.2756,                 2.3935,             0.00077823,             0.00077823,             0.00077823
                     71,                 1.0097,                0.68915,                 1.1879,                0.32876,                0.29692,                0.20242,                0.06132,                 2.8668,                  2.331,                 2.3955,              0.0007688,              0.0007688,              0.0007688
                     72,                0.99857,                0.68022,                 1.1708,                0.33692,                0.29693,                0.21256,                0.06806,                 2.8074,                 2.3269,                 2.4261,             0.00075937,             0.00075937,             0.00075937
                     73,                 1.0117,                0.69038,                 1.1733,                0.39593,                0.27053,                0.22784,                0.07538,                 2.8331,                 2.3366,                 2.3791,             0.00074994,             0.00074994,             0.00074994
                     74,                0.99673,                0.68285,                 1.1688,                0.34296,                 0.2631,                0.19229,                0.05747,                 2.9071,                 2.4453,                 2.4485,             0.00074051,             0.00074051,             0.00074051
                     75,                0.97061,                0.64709,                 1.1569,                 0.3069,                0.27808,                0.17939,                 0.0547,                  2.937,                 2.5359,                  2.484,             0.00073108,             0.00073108,             0.00073108
                     76,                 0.9616,                0.64209,                 1.1501,                0.38225,                0.25896,                0.20605,                0.06556,                 2.8934,                 2.4026,                 2.4508,             0.00072164,             0.00072164,             0.00072164
                     77,                0.95815,                0.64896,                 1.1631,                0.35356,                0.30647,                0.22173,                0.06823,                   2.85,                  2.302,                 2.4157,             0.00071221,             0.00071221,             0.00071221
                     78,                0.95991,                0.64038,                  1.153,                0.32856,                0.28046,                 0.1951,                0.06088,                 2.9446,                 2.4645,                 2.5031,             0.00070278,             0.00070278,             0.00070278
                     79,                 0.9607,                0.63853,                 1.1469,                0.38873,                0.29964,                0.24194,                 0.0758,                 2.8082,                 2.2469,                 2.3786,             0.00069335,             0.00069335,             0.00069335
                     80,                0.93553,                0.61287,                 1.1451,                0.38366,                 0.2705,                0.21194,                0.06674,                 2.8888,                 2.3999,                 2.4792,             0.00068392,             0.00068392,             0.00068392
                     81,                0.95857,                0.62657,                 1.1416,                0.41613,                 0.2889,                0.23362,                 0.0747,                  2.802,                 2.2867,                 2.3878,             0.00067449,             0.00067449,             0.00067449
                     82,                0.92271,                0.62065,                 1.1188,                0.38308,                0.28905,                0.22198,                0.06755,                 2.8519,                 2.3485,                 2.4771,             0.00066506,             0.00066506,             0.00066506
                     83,                0.92535,                0.59797,                 1.1267,                0.35979,                0.25572,                0.18823,                0.05794,                 2.9494,                 2.4411,                 2.5103,             0.00065563,             0.00065563,             0.00065563
                     84,                0.91828,                0.60185,                 1.1234,                0.34821,                0.23794,                 0.1832,                0.05767,                 2.9799,                 2.5713,                 2.5859,             0.00064619,             0.00064619,             0.00064619
                     85,                0.91679,                0.58412,                 1.1243,                0.36083,                0.25618,                 0.2067,                0.06933,                 2.8581,                  2.414,                 2.4498,             0.00063676,             0.00063676,             0.00063676
                     86,                0.90628,                0.58258,                 1.1106,                 0.3452,                0.25675,                0.18602,                0.05938,                 2.9053,                    2.6,                 2.5026,             0.00062733,             0.00062733,             0.00062733
                     87,                0.88469,                 0.5836,                 1.1103,                0.33122,                0.26972,                0.18701,                0.06059,                 2.9127,                 2.5242,                 2.5122,              0.0006179,              0.0006179,              0.0006179
                     88,                0.90202,                0.58746,                 1.1015,                0.35029,                0.27918,                0.19793,                0.06338,                 2.8815,                 2.4682,                 2.4873,             0.00060847,             0.00060847,             0.00060847
                     89,                0.86515,                0.56867,                 1.0983,                0.36007,                0.27911,                0.21628,                0.06749,                 2.8524,                 2.3839,                 2.4874,             0.00059904,             0.00059904,             0.00059904
                     90,                0.88942,                0.57665,                 1.1105,                0.39317,                0.23884,                0.19817,                0.06446,                 2.9257,                 2.5076,                 2.5812,             0.00058961,             0.00058961,             0.00058961
